PACK_NAME,NEW_DEFINITION,AUGMENT_DEFINITION,PARENT_DIRECTORY
TomEE,TRUE,FALSE,Java
tornado,TRUE,FALSE,Python
tvOS,TRUE,FALSE,
twisted,TRUE,FALSE,Python
Typhoeus,TRUE,FALSE,Ruby
Ubuntu,TRUE,FALSE,
Umbraco,TRUE,FALSE,.NET
Unicorn,TRUE,FALSE,Ruby
Unix,TRUE,FALSE,
urllib,TRUE,FALSE,Python
urllib2,TRUE,FALSE,Python
urllib3,TRUE,FALSE,Python
Vert.x,TRUE,FALSE,Java
VictorOps,TRUE,FALSE,
VMWare Tanzu,TRUE,FALSE,VMWare
web2py,TRUE,FALSE,Python
WebLogic,TRUE,FALSE,Java
webpy,TRUE,FALSE,Python
Webrick,TRUE,FALSE,Ruby
WebSphere,TRUE,FALSE,Java
Websphere Liberty Profile,TRUE,FALSE,Java
WildFly,TRUE,FALSE,Java
xMatters,TRUE,FALSE,
Yii,TRUE,FALSE,PHP
Zap,TRUE,FALSE,Golang
Zipkin,TRUE,FALSE,
